# 收盤價 MD
# T:2026-08-28 14:54

## [CLOSE]
```csv
代號,收盤價
2327,597.0
1303,220.5
2303,130.0
2408,540.0
2330,2420.0
3008,7065.0
3037,1110.0
2344,181.5
2308,1830.0
8358,543.0
3105,439.0
2313,241.0
8039,343.5
8046,1240.0
3189,899.0
2454,3985.0
2492,313.5
4958,480.5
1815,125.5
2301,317.5
3481,48.6
6213,582.0
2449,270.0
3406,917.0
3017,3360.0
6669,7200.0
3450,635.0
2368,1130.0
3374,386.0
3443,6015.0
3711,621.0
3026,742.0
6488,972.0
2383,5490.0
3081,3305.0
6147,182.5
6770,70.0
3665,2260.0
6805,2345.0
6187,1365.0
6223,5030.0
0050,106.95
2317,253.0
4939,92.8
3661,4065.0
6182,110.0
6274,1490.0
6239,287.0
8021,454.0
3324,1140.0
00981A,30.09
2481,154.0
6446,1545.0
8299,2150.0
2426,96.1
2059,14300.0
8996,1265.0
3653,5785.0
5274,15630.0
2464,190.0
4991,520.0
8033,189.5
2345,2125.0
5425,96.3
3533,1735.0
00631L,36.3
3231,178.0
2634,67.8
3211,400.0
00403A,10.36
3167,783.0
3532,399.0
6173,239.0
3491,1510.0
3529,2540.0
3376,217.0
2337,126.5
3163,754.0
5475,201.0
4931,272.5
1802,60.8
3441,130.0
2382,332.5
3090,174.0
5347,153.0
2409,25.85
5483,183.5
6584,682.0
3363,701.0
7769,6490.0
1312,14.15
2886,48.2
3042,188.5
6257,219.0
2360,2010.0
1519,755.0
5289,1470.0
3260,412.0
3264,235.0
2375,133.0
3006,269.5
3605,131.0
6451,453.5
8043,148.0
2615,111.5
2609,56.2
6415,458.0
6531,895.0
2881,144.0
2892,34.4
1717,77.7
6442,1615.0
8210,990.0
4908,190.0
1301,62.7
8261,187.5
2882,105.5
8150,90.5
00685L,11.96
2489,40.2
3293,707.0
6139,775.0
2603,231.5
2351,239.5
2324,39.7
00406A,9.81
2357,965.0
6515,6250.0
6217,175.0
2472,232.5
6269,75.0
6271,215.0
2412,135.5
2478,129.5
7610,1495.0
3034,545.0
3702,100.0
6278,201.5
4979,610.0
1326,62.1
00919,31.44
3131,2485.0
3044,490.0
2467,610.0
6781,1130.0
6683,1200.0
3583,749.0
2421,163.5
6727,537.0
00991A,18.3
3624,91.8
6285,247.0
2404,1075.0
009816,15.59
2891,64.4
2887,37.5
5439,264.5
2645,174.0
7751,1790.0
2049,354.0
2451,294.0
2880,40.25
2354,63.9
2376,349.0
6290,248.0
2484,76.1
5351,116.0
6510,2680.0
7788,327.5
6672,289.5
00878,33.0
8271,232.5
00632R,9.89
00881,50.0
3504,89.5
00992A,18.68
6919,99.6
6449,237.0
4989,68.2
3693,587.0
1597,152.0
3036,196.0
5328,63.0
0056,53.85
7750,2300.0
00953B,9.63
3045,115.5
3715,125.0
6831,620.0
1504,72.6
00407A,9.87
8042,109.0
0052,62.35
1590,1415.0
6209,76.7
7734,2995.0
3357,223.0
2885,64.0
2455,434.0
2428,262.0
2618,41.8
8027,185.0
2395,669.0
3680,500.0
8069,160.5
1709,36.15
2379,722.0
6456,74.3
2356,64.9
6547,65.0
2377,145.0
1216,75.7
6830,525.0
8112,90.9
8932,94.3
2884,38.75
5314,34.2
1727,98.1
3049,13.5
6505,71.4
4967,273.5
4764,249.5
5536,871.0
1605,39.0
1503,205.5
6789,461.0
2890,39.8
7711,487.0
00935,58.2
00405A,8.78
2883,32.75
5386,258.5
2359,145.5
6207,111.0
3645,76.6
6739,1140.0
2486,261.0
1514,105.0
4904,100.5
3706,92.1
00400A,15.0
5871,113.0
6426,263.5
4977,172.0
3265,186.5
7795,564.0
4938,88.5
2606,72.2
6538,200.0
2441,118.5
8028,249.0
8103,108.5
9904,24.35
