# 收盤價 MD
# T:2026-08-21 05:54

## [CLOSE]
```csv
代號,收盤價
2408,517.0
2454,3700.0
2330,2375.0
2344,176.5
2327,562.0
3037,1140.0
2308,1745.0
3008,5515.0
3443,5630.0
2383,5985.0
1815,107.0
3189,851.0
1303,186.0
3081,2780.0
8039,283.0
2492,272.5
3711,590.0
2303,115.5
8046,1195.0
6770,67.3
4958,463.0
3653,5600.0
3481,46.0
2609,60.3
3017,2985.0
6488,993.0
6173,221.0
2615,113.5
3374,303.5
2368,1025.0
8358,413.5
2059,13925.0
2313,217.5
2603,246.0
3167,762.0
8299,1995.0
6274,1575.0
3450,553.0
3661,3750.0
2301,267.0
2455,412.0
3042,188.5
2317,246.5
6182,109.5
3105,379.0
2337,122.0
2634,72.3
6669,6325.0
6223,5650.0
2345,2105.0
2481,138.5
3231,180.0
1802,57.7
00631L,34.27
2049,366.5
00981A,29.25
0050,103.8
2486,251.0
6531,882.0
6187,1265.0
2382,327.0
3090,172.0
2891,63.4
5274,15750.0
5351,118.0
2379,703.0
6446,1375.0
6442,1555.0
5483,186.5
3665,2250.0
5536,878.0
3532,340.0
6805,1850.0
5289,1490.0
4971,580.0
2357,913.0
6451,437.0
2359,158.0
8996,1135.0
2449,235.0
2360,2140.0
3211,355.0
2409,25.8
00991A,17.91
2324,38.5
3260,401.0
5425,90.3
7769,6455.0
6147,163.5
2377,140.0
2881,128.0
2478,128.5
3533,1610.0
2395,673.0
3362,186.0
3006,250.5
2464,180.5
00685L,11.25
2426,74.8
3034,527.0
3045,115.0
8021,408.5
2376,344.0
3293,758.0
6239,268.5
3363,610.0
3406,650.0
8150,87.9
3441,97.3
2887,35.95
2882,97.7
2404,1075.0
1519,727.0
00881,48.68
1590,1420.0
6715,492.0
2885,62.1
6213,510.0
6505,73.0
6139,766.0
7750,2460.0
3702,104.5
6672,287.5
2886,46.4
00632R,10.22
1216,78.2
5347,153.5
1326,58.4
00406A,9.58
4939,62.7
2428,267.0
6472,445.5
8069,163.0
8210,964.0
3491,1285.0
00403A,10.03
00878,32.15
1504,73.1
2351,183.5
00919,30.31
3044,485.5
2002,19.35
3324,993.0
8271,233.0
8261,179.5
3529,2210.0
2884,37.35
6510,2760.0
009816,15.13
1402,29.2
4967,266.0
1101,24.8
4576,208.0
2605,36.4
3605,110.0
2618,42.25
7751,1575.0
8112,93.7
7610,1535.0
6278,180.0
6257,199.5
6683,1140.0
6691,610.0
6515,6380.0
0056,52.05
3036,205.5
2892,33.3
6285,237.0
6426,250.0
1102,34.7
2637,94.7
6290,214.5
8042,101.0
3026,710.0
4979,570.0
6907,194.0
7711,454.0
2451,284.5
2356,64.5
2883,30.4
2027,50.5
5904,75.9
1301,57.8
6831,602.0
6414,402.5
3673,65.1
5269,1425.0
1560,698.0
6727,460.0
3163,736.0
2467,560.0
6214,180.0
4938,89.7
4977,156.5
00708L,85.05
5439,243.5
4991,520.0
3265,174.5
2412,136.5
00937B,14.42
7734,2815.0
2458,146.0
6265,56.5
6415,448.0
1605,36.85
6919,109.0
6456,71.2
00405A,8.57
00679B,26.36
1785,103.5
6538,194.0
00988A,16.51
4904,102.0
1727,91.6
5608,17.05
1476,317.0
9914,87.8
2630,52.3
3234,151.0
7788,256.0
2484,71.1
1795,195.0
00929,28.44
7792,297.5
2890,39.35
3624,86.3
4966,567.0
2606,70.2
8016,291.5
4931,273.0
00953B,9.7
8070,50.2
2645,179.0
6409,1040.0
5871,111.5
3131,2320.0
9904,25.05
3388,94.1
5328,62.3
2472,223.5
2542,48.3
9921,106.0
7822,938.0
3264,208.5
2474,204.0
2880,38.8
3706,90.1
6588,101.0
6116,13.8
1597,135.0
6226,22.0
8086,114.5
009821,15.16
3583,713.0
5434,526.0
3455,243.0
6781,1075.0
2316,155.5
6753,144.0
00992A,17.78
0052,60.45
2912,220.0
00918,33.64
1717,70.2
6125,56.2
00927,35.3
6271,196.0
2353,31.0
00713,61.15
3498,183.5
00738U,53.5
2347,87.0
2312,31.35
3035,172.0
1503,201.5
1477,201.0
6196,496.0
00400A,14.66
4541,67.6
2375,125.0
00891,33.45
8103,91.9
5371,84.3
5880,24.8
8028,247.0
3413,287.0
00687B,27.43
6830,420.0
00663L,98.4
8043,139.5
3135,168.0
8932,112.0
1513,166.0
2354,60.2
00675L,298.5
5388,77.6
1810,26.05
6584,586.0
00935,55.95
6525,141.5
5340,78.2
2610,20.0
5876,43.65
00662,121.0
2834,16.55
3149,66.2
6282,45.0
6177,47.05
6491,374.0
6949,1125.0
2498,40.0
4764,211.0
6166,120.5
2493,183.0
2441,114.0
00982A,21.8
2371,27.55
00635U,46.51
6121,395.0
2466,96.1
6209,69.0
8111,60.0
00830,84.25
00407A,9.54
00984D,10.06
8096,108.0
3016,103.0
7799,379.5
2548,95.7
6217,153.5
00990A,15.55
006208,237.85
1708,50.8
3019,136.0
2436,63.3
3675,269.0
3357,214.0
00757,137.8
3693,516.0
1709,30.3
3714,57.0
2332,20.5
6834,93.5
00735,101.75
3680,468.0
6416,102.5
6108,26.0
6141,43.95
3005,117.5
3022,92.5
5475,176.0
2302,43.25
6547,52.9
8027,170.5
00680L,6.53
3055,108.5
00637L,19.95
2465,86.0
4919,118.5
00715L,50.95
6789,427.5
2105,31.5
4989,62.0
6138,290.0
4749,761.0
3236,44.5
3596,162.5
00795B,26.19
3030,289.5
2845,13.6
3715,109.5
2388,73.4
2851,44.2
00923,38.5
3033,45.35
2489,32.45
6197,300.5
2915,61.6
4916,99.3
6477,38.15
00947,36.15
2393,66.3
2439,82.0
8155,324.5
3504,78.1
00980A,24.13
2367,42.55
3563,674.0
4973,152.0
2233,183.5
8033,187.5
2801,23.85
00961,13.1
4763,50.2
1515,34.5
4915,60.1
1714,17.0
3490,49.15
6206,142.5
8422,27.1
1722,46.25
2006,82.0
6640,954.0
3227,200.0
00720B,32.1
8110,44.35
2476,119.5
2385,107.0
6693,169.0
2103,27.85
6761,184.5
00892,39.05
4105,79.0
1319,83.0
4540,58.8
6944,715.0
2352,29.25
8464,374.5
2421,144.0
00712,8.94
3617,254.0
3376,188.5
5009,34.25
9945,29.85
1409,24.4
4976,38.15
6215,99.2
6207,103.0
8131,62.8
6533,245.5
3305,109.0
5386,230.5
9958,101.0
8383,66.2
5471,57.6
2204,55.0
6829,214.0
3023,319.0
00665L,9.74
3229,56.9
4722,205.0
4766,347.5
00751B,30.65
3707,62.9
8064,98.7
7795,552.0
2328,45.6
8234,66.5
2646,21.15
7714,180.5
3587,243.5
6548,70.6
5284,318.0
6005,30.35
00981B,9.2
7828,1650.0
6435,253.5
00859B,41.17
3147,224.0
6719,194.0
4585,300.5
1229,42.05
00753L,9.85
6269,63.6
8436,125.0
4566,68.3
8081,259.0
00646,77.55
00724B,33.11
4908,154.0
2903,22.75
00865B,48.87
1904,25.5
00673R,12.34
1718,10.35
4542,251.0
2617,30.95
3430,119.5
00922,40.05
2539,35.5
2855,46.65
00764B,27.33
2812,18.8
2504,31.1
1314,7.82
5607,55.3
6291,378.5
2201,29.2
4743,48.3
6224,72.1
2369,30.9
2399,44.45
00888,32.09
9105,8.35
2207,508.0
6449,223.0
7402,108.0
6706,117.0
3048,56.0
6127,48.95
6903,311.5
2340,31.15
4768,314.0
3543,43.25
8109,131.5
8454,254.0
6526,585.0
4906,34.3
2342,39.1
1711,39.35
3221,48.15
2392,40.6
2417,43.95
2641,18.35
8926,56.8
6191,82.6
5314,23.65
5292,214.0
00722B,34.48
4114,31.25
00997A,11.3
009826,10.16
5534,80.9
1808,34.5
9939,132.0
9933,42.5
7768,296.0
2374,67.1
2612,58.7
1514,101.0
00877,37.33
6739,978.0
2030,21.85
2546,116.5
6579,150.0
4142,18.1
5498,50.7
6532,87.4
2850,166.0
5469,71.6
4303,50.0
8114,198.5
6155,56.7
00998A,17.83
00940,12.4
8374,83.1
00887,16.51
9910,70.4
2727,237.0
4510,45.3
2852,29.2
4772,249.0
1210,52.6
3515,217.0
4736,145.5
2014,17.35
2636,71.2
4770,210.0
2363,51.0
6202,57.3
5392,45.1
00772B,32.75
1710,15.2
3088,125.0
2031,46.05
5443,104.0
5864,34.0
2485,41.1
00945B,14.5
4739,83.3
00897,13.52
7744,500.0
00933B,15.75
00719B,31.25
1609,36.9
2515,11.95
2323,10.75
2611,16.0
5234,299.0
1736,130.5
2889,15.65
